,sepal length,sepal width,petal length,petal width,class,Prob
0,5.1,3.5,1.4,0.2,1,0.890498159947338
1,4.9,3.0,1.4,0.2,1,0.9851392196681641
2,4.7,3.2,1.3,0.2,1,0.9996897440444472
3,4.6,3.1,1.5,0.2,1,0.9944913923815732
4,5.0,3.6,1.4,0.2,1,0.947683010657045
5,5.4,3.9,1.7,0.4,3,0.9955077422558212
6,4.6,3.4,1.4,0.3,1,0.998471157861498
7,5.0,3.4,1.5,0.2,1,0.9148245480729051
8,4.4,2.9,1.4,0.2,1,0.9999600113646975
9,4.9,3.1,1.5,0.1,1,0.9549470888265364
10,5.4,3.7,1.5,0.2,1,0.7056329102278696
11,4.8,3.4,1.6,0.2,1,0.8100833122522124
12,4.8,3.0,1.4,0.1,1,0.9885689165294502
13,4.3,3.0,1.1,0.1,1,0.9999999992666344
14,5.8,4.0,1.2,0.2,3,0.9994921282275161
15,5.7,4.4,1.5,0.4,3,0.9984750089751591
16,5.4,3.9,1.3,0.4,3,0.9951373418838362
17,5.1,3.5,1.4,0.3,1,0.6770110545743787
18,5.7,3.8,1.7,0.3,1,0.9796729551558874
19,5.1,3.8,1.5,0.3,3,0.6258214476656988
20,5.4,3.4,1.7,0.2,1,0.9933540341515721
21,5.1,3.7,1.5,0.4,3,0.9840943038032804
22,4.6,3.6,1.0,0.2,1,0.9999999976065806
23,5.1,3.3,1.7,0.5,3,0.9999925394967905
24,4.8,3.4,1.9,0.2,3,0.994129440696958
25,5.0,3.0,1.6,0.2,1,0.9713430956290142
26,5.0,3.4,1.6,0.4,3,0.991087494516635
27,5.2,3.5,1.5,0.2,1,0.8381587434652056
28,5.2,3.4,1.4,0.2,1,0.8287717167261961
29,4.7,3.2,1.6,0.2,1,0.9047784953029782
30,4.8,3.1,1.6,0.2,1,0.9285848407102376
31,5.4,3.4,1.5,0.4,3,0.9702030754437055
32,5.2,4.1,1.5,0.1,3,0.8279344720170558
33,5.5,4.2,1.4,0.2,3,0.8742362003033434
34,4.9,3.1,1.5,0.1,1,0.9549470888265364
35,5.0,3.2,1.2,0.2,1,0.9662038386921852
36,5.5,3.5,1.3,0.2,3,0.8613245703765973
37,4.9,3.1,1.5,0.1,1,0.9549470888265364
38,4.4,3.0,1.3,0.2,1,0.9999985029942999
39,5.1,3.4,1.5,0.2,1,0.8927439557137637
40,5.0,3.5,1.3,0.3,1,0.9308186499600287
41,4.5,2.3,1.3,0.3,1,0.9992586210468717
42,4.4,3.2,1.3,0.2,1,0.9999993449508076
43,5.0,3.5,1.6,0.6,3,0.9999999988172983
44,5.1,3.8,1.9,0.4,3,0.9999883313005529
45,4.8,3.0,1.4,0.3,1,0.96748623293841
46,5.1,3.8,1.6,0.2,3,0.532842714953599
47,4.6,3.2,1.4,0.2,1,0.9995071241392752
48,5.3,3.7,1.5,0.2,1,0.6934077320896423
49,5.0,3.3,1.4,0.2,1,0.9578353227588873
